奉贈韋左丞丈二十二韻 // 0276 0001,中7.2251,中PDF7.30,揚31.4
贈別何邕 // 2487 0592,中7.2449,中PDF7.228,揚33.43
贈別鄭鍊赴襄陽 // 2493 0593,中7.2449,中PDF7.228,揚33.43
重贈鄭鍊 // 2497 0594,中7.2449,中PDF7.228,揚33.43
奉和嚴中丞西城晚眺十韻 // 2560 0595,中7.2450,中PDF7.229,揚33.44
嚴中丞枉駕見過 // 2548 0596,中7.2450,中PDF7.229,揚33.44
廣州段功曹到得楊五長史譚書功曹卻歸聊寄此詩 // 2472 0597,中7.2450,中PDF7.229,揚33.45
得廣州張判官叔卿書使還以詩代意 // 2476 0598,中7.2450,中PDF7.229,揚33.45
送段功曹歸廣州 // 2480 0599,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-1 0600-1,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-2 0600-2,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-3 0600-3,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-4 0600-4,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-5 0600-5,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-6 0600-6,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-7 0600-7,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-8 0600-8,中7.2451,中PDF7.230,揚33.45
絕句漫興九首 // 2232-9 0600-9,中7.2451,中PDF7.230,揚33.45
江畔獨步尋花七絕句 // 2219-1 0601-1,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-2 0601-2,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-3 0601-3,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-4 0601-4,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-5 0601-5,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-6 0601-6,中7.2452,中PDF7.231,揚33.46
江畔獨步尋花七絕句 // 2219-7 0601-7,中7.2452,中PDF7.231,揚33.46
三絕句 // 2570-1 0602-1,中7.2452,中PDF7.231,揚33.47
三絕句 // 2570-2 0602-2,中7.2452,中PDF7.231,揚33.47
三絕句 // 2570-3 0602-3,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-1 0603-1,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-2 0603-2,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-3 0603-3,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-4 0603-4,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-5 0603-5,中7.2452,中PDF7.231,揚33.47
戲爲六絕句 // 2501-6 0603-6,中7.2452,中PDF7.231,揚33.47
江頭四詠 // 2516-1 0604-1,中7.2453,中PDF7.232,揚33.48
江頭四詠 // 2516-3 0604-2,中7.2453,中PDF7.232,揚33.48
江頭四詠 // 2516-4 0604-3,中7.2453,中PDF7.232,揚33.48
江頭四詠 // 2516-5 0604-4,中7.2453,中PDF7.232,揚33.48
畏人 // 2527 0605,中7.2454,中PDF7.233,揚33.48
遠遊 // 2753 0606,中7.2454,中PDF7.233,揚33.49
野望 // 2454 0607,中7.2454,中PDF7.233,揚33.49
官池春雁二首 // 2840-1 0608-1,中7.2455,中PDF7.234,揚33.49
官池春雁二首 // 2840-2 0608-2,中7.2455,中PDF7.234,揚33.49
水檻遣心二首 // 2177-1 0609-1,中7.2455,中PDF7.234,揚33.49
水檻遣心二首 // 2177-2 0609-2,中7.2455,中PDF7.234,揚33.49
屛迹三首 // 2530-2 0610-1,中7.2455,中PDF7.234,揚33.49
屛迹三首 // 2530-3 0610-2,中7.2455,中PDF7.234,揚33.49
屛迹三首 // 2530-1 0610-3,中7.2455,中PDF7.234,揚33.49
奉酬嚴公寄題野亭之作 // 2542 0611,中7.2456,中PDF7.235,揚33.50
中丞嚴公雨中垂寄見憶一絕奉答二絕 // 2565-1 0612-1,中7.2456,中PDF7.235,揚33.50
中丞嚴公雨中垂寄見憶一絕奉答二絕 // 2565-2 0612-2,中7.2456,中PDF7.235,揚33.50
謝嚴中丞送青城山道士乳酒一瓶 // 2568 0613,中7.2456,中PDF7.235,揚33.50
嚴公仲夏枉駕草堂兼攜酒饌 // 2582 0614,中7.2456,中PDF7.235,揚33.50
嚴公廳宴同詠蜀道畫圖 // 2588 0615,中7.2456,中PDF7.235,揚33.51
奉送嚴公入朝十韻 // 2603 0616,中7.2456,中PDF7.235,揚33.51
送嚴侍郞到綿州同登杜使君江樓 // 2608 0617,中7.2457,中PDF7.236,揚33.51
奉濟驛重送嚴公四韻 // 2613 0618,中7.2457,中PDF7.236,揚33.51
送梓州李使君之任 // 2615 0619,中7.2457,中PDF7.236,揚33.51
巴西驛亭觀江漲呈竇使君 // 2823-1 0620,中7.2457,中PDF7.236,揚33.52
九日登梓州城 // 2667 0621,中7.2458,中PDF7.237,揚33.52
九日奉寄嚴大夫 // 2670 0622,中7.2458,中PDF7.237,揚33.52
黃草 // 3743 0623,中7.2458,中PDF7.237,揚33.52
懷舊 // 3310 0624,中7.2458,中PDF7.237,揚33.52
所思 // 1373 0625,中7.2458,中PDF7.237,揚33.53
不見 // 2417 0626,中7.2458,中PDF7.237,揚33.53
題玄武禪師屋壁 // 2654 0627,中7.2459,中PDF7.238,揚33.53
客夜 // 2661 0628,中7.2459,中PDF7.238,揚33.53
客亭 // 2664 0629,中7.2459,中PDF7.238,揚33.53
秋盡 // 2690 0630,中7.2459,中PDF7.238,揚33.53
陪王侍御宴通泉東山野亭 // 2737 0631,中7.2459,中PDF7.238,揚33.54
野望 // 2694 0632,中7.2460,中PDF7.239,揚33.54
聞官軍收河南河北 // 2747 0633,中7.2460,中PDF7.239,揚33.54
涪江泛舟送韋班歸京 // 2774 0634,中7.2460,中PDF7.239,揚33.54
春日梓州登樓二首 // 2755-1 0635-1,中7.2460,中PDF7.239,揚33.54
春日梓州登樓二首 // 2755-2 0635-2,中7.2460,中PDF7.239,揚33.54
郪城西原送李判官兄武判官弟赴成都府 // 2769 0636,中7.2460,中PDF7.239,揚33.54
泛江送魏十八倉曹還京因寄岑中允參范郞中季明 // 2776 0637,中7.2461,中PDF7.240,揚33.55
送路六侍御入朝 // 2779 0638,中7.2461,中PDF7.240,揚33.55
泛江送客 // 2782 0639,中7.2461,中PDF7.240,揚33.55
上牛頭寺 // 2784 0640,中7.2461,中PDF7.240,揚33.55
望牛頭寺 // 2786 0641,中7.2461,中PDF7.240,揚33.55
上兜率寺 // 2791 0642,中7.2462,中PDF7.241,揚33.55
望兜率寺 // 2795 0643,中7.2462,中PDF7.241,揚33.56
甘園 // 2798 0644,中7.2462,中PDF7.241,揚33.56
數陪李梓州泛江有女樂在諸舫戲爲豔曲二首贈李 // 2803-1 0645-1,中7.2462,中PDF7.241,揚33.56
數陪李梓州泛江有女樂在諸舫戲爲豔曲二首贈李 // 2803-2 0645-2,中7.2462,中PDF7.241,揚33.56
登牛頭山亭子 // 2789 0646,中7.2462,中PDF7.241,揚33.56
陪李梓州王閬州蘇遂州李果州四使君登惠義寺 // 2800 0647,中7.2463,中PDF7.242,揚33.56
送何侍御歸朝 // 2808 0648,中7.2463,中PDF7.242,揚33.56
江亭送眉州辛別駕昇之 // 3086 0649,中7.2463,中PDF7.242,揚33.57
涪城縣香積寺官閣 // 2771 0650,中7.2463,中PDF7.242,揚33.57
戲題寄上漢中王三首 // 2674-1 0651-1,中7.2463,中PDF7.242,揚33.57
戲題寄上漢中王三首 // 2674-2 0651-2,中7.2463,中PDF7.242,揚33.57
戲題寄上漢中王三首 // 2674-3 0651-3,中7.2463,中PDF7.242,揚33.57
陪章留後侍御宴南樓 // 2879 0652,中7.2464,中PDF7.243,揚33.57
臺上 // 2884 0653,中7.2464,中PDF7.243,揚33.58
送王十五判官扶侍還黔中 // 2870 0654,中7.2464,中PDF7.243,揚33.58
倦夜 // 2920 0655,中7.2464,中PDF7.243,揚33.58
悲秋 // 2658 0656,中7.2465,中PDF7.244,揚33.58
對雨 // 2955 0657,中7.2465,中PDF7.244,揚33.58
警急 // 2960 0658,中7.2465,中PDF7.244,揚33.58
王命 // 2963 0659,中7.2465,中PDF7.244,揚33.58
征夫 // 2967 0660,中7.2465,中PDF7.244,揚33.59
有感五首 // 3059-1 0661-1,中7.2466,中PDF7.245,揚33.59
有感五首 // 3059-2 0661-2,中7.2466,中PDF7.245,揚33.59
有感五首 // 3059-3 0661-3,中7.2466,中PDF7.245,揚33.59
有感五首 // 3059-4 0661-4,中7.2466,中PDF7.245,揚33.59
有感五首 // 3059-5 0661-5,中7.2466,中PDF7.245,揚33.59
送元二適江左 // 2909 0662,中7.2467,中PDF7.246,揚33.60
章梓州水亭 // 2893 0663,中7.2467,中PDF7.246,揚33.60
玩月呈漢中王 // 2681 0664,中7.2467,中PDF7.246,揚33.60
戲作寄上漢中王二首 // 2899-1 0665-1,中7.2467,中PDF7.246,揚33.60
戲作寄上漢中王二首 // 2899-2 0665-2,中7.2467,中PDF7.246,揚33.60
投簡梓州幕府兼簡韋十郞官 // 2843 0666,中7.2467,中PDF7.246,揚33.60
登高 // 5092 0667,中7.2467,中PDF7.246,揚33.60
九日 // 2915 0668,中7.2468,中PDF7.247,揚33.61
遣憤 // 3470 0669,中7.2468,中PDF7.247,揚33.61
章梓州橘亭餞成都竇少尹 // 2890 0670,中7.2468,中PDF7.247,揚33.61
送陵州路使君赴任 // 2905 0671,中7.2468,中PDF7.247,揚33.61
薄暮 // 2923 0672,中7.2468,中PDF7.247,揚33.61
西山三首 // 2969-1 0673-1,中7.2469,中PDF7.248,揚33.62
西山三首 // 2969-2 0673-2,中7.2469,中PDF7.248,揚33.62
西山三首 // 2969-3 0673-3,中7.2469,中PDF7.248,揚33.62
薄遊 // 2942 0674,中7.2469,中PDF7.248,揚33.62
贈韋贊善別 // 2850 0675,中7.2469,中PDF7.248,揚33.62
送李卿曄 // 3025 0676,中7.2469,中PDF7.248,揚33.62
絕句 // 2539 0677,中7.2470,中PDF7.249,揚33.63
城上 // 3028 0678,中7.2470,中PDF7.249,揚33.63
舍弟占歸草堂檢校聊示此詩 // 3011 0679,中7.2470,中PDF7.249,揚33.63
傷春五首 // 3036-1 0680-1,中7.2471,中PDF7.250,揚33.63
傷春五首 // 3036-2 0680-2,中7.2471,中PDF7.250,揚33.63
傷春五首 // 3036-3 0680-3,中7.2471,中PDF7.250,揚33.63
傷春五首 // 3036-4 0680-4,中7.2471,中PDF7.250,揚33.63
傷春五首 // 3036-5 0680-5,中7.2471,中PDF7.250,揚33.63
王閬州筵奉酬十一舅惜別之作 // 2932 0681,中7.2472,中PDF7.251,揚33.64
放船 // 2939 0682,中7.2472,中PDF7.251,揚33.64
奉待嚴大夫 // 3114 0683,中7.2472,中PDF7.251,揚33.64
奉寄高常侍 // 3168 0684,中7.2472,中PDF7.251,揚33.64
奉寄章十侍御 // 3110 0685,中7.2472,中PDF7.251,揚33.65
將赴荆南寄別李劍州 // 5418 0686,中7.2473,中PDF7.252,揚33.65
奉寄別馬巴州 // 3021 0687,中7.2473,中PDF7.252,揚33.65
泛江 // 3092 0688,中7.2473,中PDF7.252,揚33.65
陪王使君晦日泛江就黃家亭子二首 // 3079-1 0689-1,中7.2473,中PDF7.252,揚33.65
陪王使君晦日泛江就黃家亭子二首 // 3079-2 0689-2,中7.2473,中PDF7.252,揚33.65
南征 // 5684 0690,中7.2473,中PDF7.252,揚33.66
久客 // 5589 0691,中7.2474,中PDF7.253,揚33.66
春遠 // 3358 0692,中7.2474,中PDF7.253,揚33.66
暮寒 // 3095 0693,中7.2474,中PDF7.253,揚33.66
雙燕 // 3030 0694,中7.2474,中PDF7.253,揚33.66
百舌 // 3033 0695,中7.2474,中PDF7.253,揚33.66
地隅 // 5591 0696,中7.2475,中PDF7.254,揚33.66
游子 // 3097 0697,中7.2475,中PDF7.254,揚33.67
歸夢 // 5685 0698,中7.2475,中PDF7.254,揚33.67
江亭王閬州筵餞蕭遂州 // 3083 0699,中7.2475,中PDF7.254,揚33.67
絕句二首 // 3177-1 0700-1,中7.2475,中PDF7.254,揚33.67
絕句二首 // 3177-2 0700-2,中7.2475,中PDF7.254,揚33.67
滕王亭子 // 3099-1 0701,中7.2475,中PDF7.254,揚33.67
玉臺觀 // 3104-1 0702,中7.2476,中PDF7.255,揚33.67
滕王亭子 // 3099-2 0703,中7.2476,中PDF7.255,揚33.68
玉臺觀 // 3104-2 0704,中7.2476,中PDF7.255,揚33.67
渡江 // 3093 0705,中7.2476,中PDF7.255,揚33.68
喜雨 // 3368 0706,中7.2476,中PDF7.255,揚33.68
送韋郞司直歸成都 // 2854 0707,中7.2477,中PDF7.256,揚33.68
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124-1 0708-1,中7.2477,中PDF7.256,揚33.68
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124-2 0708-2,中7.2477,中PDF7.256,揚33.68
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124-3 0708-3,中7.2477,中PDF7.256,揚33.68
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124-4 0708-4,中7.2477,中PDF7.256,揚33.68
將赴成都草堂途中有作先寄嚴鄭公五首 // 3124-5 0708-5,中7.2477,中PDF7.256,揚33.68
別房太尉墓 // 3122 0709,中7.2478,中PDF7.257,揚33.69
自閬州領妻子卻赴蜀山行三首 // 3117-1 0710-1,中7.2478,中PDF7.257,揚33.69
自閬州領妻子卻赴蜀山行三首 // 3117-2 0710-2,中7.2478,中PDF7.257,揚33.69
自閬州領妻子卻赴蜀山行三首 // 3117-3 0710-3,中7.2478,中PDF7.257,揚33.69
山館 // 5598 0711,中7.2478,中PDF7.257,揚33.70
行次鹽亭縣聊題四韻奉簡嚴遂州蓬州兩使君諮議諸昆季 // 2810 0712,中7.2478,中PDF7.257,揚33.70
倚杖 // 2814 0713,中7.2479,中PDF7.258,揚33.70
陪王漢州留杜綿州泛房公西湖 // 2830 0714,中7.2479,中PDF7.258,揚33.70
舟前小鵝兒 // 2837 0715,中7.2479,中PDF7.258,揚33.70
得房公池鵝 // 2834 0716,中7.2479,中PDF7.258,揚33.70
答楊梓州 // 2835 0717,中7.2479,中PDF7.258,揚33.71
登樓 // 3162 0718,中7.2479,中PDF7.258,揚33.71
春歸 // 3135 0719,中7.2480,中PDF7.259,揚33.71
歸雁 // 3175 0720,中7.2480,中PDF7.259,揚33.71
贈王二十四侍御契四十韻 // 3183 0721,中7.2480,中PDF7.259,揚33.71
寄董卿嘉榮十韻 // 3258 0722,中7.2481,中PDF7.260,揚33.72
寄司馬山人十二韻 // 3179 0723,中7.2481,中PDF7.260,揚33.72
黃河二首 // 3197-1 0724-1,中7.2481,中PDF7.260,揚33.73
黃河二首 // 3197-2 0724-2,中7.2481,中PDF7.260,揚33.73
寄李十四員外布十二韻 // 5517 0725,中7.2481,中PDF7.260,揚33.73
歸來 // 3138 0726,中7.2482,中PDF7.261,揚33.73
王錄事許修草堂貲不到聊小詰 // 3174 0727,中7.2482,中PDF7.261,揚33.73
寄邛州崔錄事 // 3172 0728,中7.2482,中PDF7.261,揚33.74
過故斛斯校書莊二首 // 3245-1 0729-1,中7.2482,中PDF7.261,揚33.74
過故斛斯校書莊二首 // 3245-2 0729-2,中7.2482,中PDF7.261,揚33.74
立秋雨院中有作 // 3256 0730,中7.2483,中PDF7.262,揚33.74
奉和嚴大夫軍城早秋 // 3263 0731,中7.2483,中PDF7.262,揚33.74
院中晚晴懷西郭茅舍 // 3266 0732,中7.2483,中PDF7.262,揚33.74
到村 // 3268 0733,中7.2483,中PDF7.262,揚33.74
宿府 // 3273 0734,中7.2483,中PDF7.262,揚33.75
遣悶奉呈嚴公二十韻 // 3276 0735,中7.2483,中PDF7.262,揚33.75
送舍弟頻赴齊州三首 // 3299-1 0736-1,中7.2484,中PDF7.263,揚33.75
送舍弟頻赴齊州三首 // 3299-2 0736-2,中7.2484,中PDF7.263,揚33.75
送舍弟頻赴齊州三首 // 3299-3 0736-3,中7.2484,中PDF7.263,揚33.75
嚴鄭公階下新松 // 3283 0737,中7.2484,中PDF7.263,揚33.76
嚴鄭公宅同詠竹 // 3285 0738,中7.2485,中PDF7.264,揚33.76
奉觀嚴鄭公廳事岷山沱江畫圖十韻 // 3293 0739,中7.2485,中PDF7.264,揚33.76
晚秋陪嚴鄭公摩訶池泛舟 // 3287 0740,中7.2485,中PDF7.264,揚33.76
初冬 // 3319 0741,中7.2485,中PDF7.264,揚33.76
至後 // 3328 0742,中7.2485,中PDF7.264,揚33.77
正月三日歸溪上有作簡院內諸公 // 3337 0743,中7.2485,中PDF7.264,揚33.77
弊廬遣興奉寄嚴公 // 3339 0744,中7.2486,中PDF7.265,揚33.77
春日江村五首 // 3346-1 0745-1,中7.2486,中PDF7.265,揚33.77
春日江村五首 // 3346-2 0745-2,中7.2486,中PDF7.265,揚33.77
春日江村五首 // 3346-3 0745-3,中7.2486,中PDF7.265,揚33.77
春日江村五首 // 3346-4 0745-4,中7.2486,中PDF7.265,揚33.77
春日江村五首 // 3346-5 0745-5,中7.2486,中PDF7.265,揚33.77
絕句六首 // 3218-1 0746-1,中7.2487,中PDF7.266,揚33.78
絕句六首 // 3218-2 0746-2,中7.2487,中PDF7.266,揚33.78
絕句六首 // 3218-3 0746-3,中7.2487,中PDF7.266,揚33.78
絕句六首 // 3218-4 0746-4,中7.2487,中PDF7.266,揚33.78
絕句六首 // 3218-5 0746-5,中7.2487,中PDF7.266,揚33.78
絕句六首 // 3218-6 0746-6,中7.2487,中PDF7.266,揚33.78
絕句四首 // 3224-1 0747-1,中7.2487,中PDF7.266,揚33.78
絕句四首 // 3224-2 0747-2,中7.2487,中PDF7.266,揚33.78
絕句四首 // 3224-3 0747-3,中7.2487,中PDF7.266,揚33.78
絕句四首 // 3224-4 0747-4,中7.2487,中PDF7.266,揚33.78
哭嚴僕射歸櫬 // 3422 0748,中7.2488,中PDF7.267,揚34.3
宴戎州楊使君東樓 // 3401 0749,中7.2488,中PDF7.267,揚34.3
渝州候嚴六侍御不到先下峽 // 3405 0750,中7.2488,中PDF7.267,揚34.3
撥悶 // 3408 0751,中7.2488,中PDF7.267,揚34.4
聞高常侍亡 // 3425 0752,中7.2489,中PDF7.268,揚34.4
宴忠州使君姪宅 // 3412 0753,中7.2489,中PDF7.268,揚34.4
禹廟 // 3415 0754,中7.2489,中PDF7.268,揚34.4
題忠州龍興寺所居院壁 // 3419 0755,中7.2489,中PDF7.268,揚34.4
旅夜書懷 // 3428 0756,中7.2489,中PDF7.268,揚34.4
別常徵君 // 3440 0757,中7.2489,中PDF7.268,揚34.5
三絕句 // 3466-1 0758-1,中7.2490,中PDF7.269,揚34.5
三絕句 // 3466-2 0758-2,中7.2490,中PDF7.269,揚34.5
三絕句 // 3466-3 0758-3,中7.2490,中PDF7.269,揚34.5
十二月一日三首 // 3473-1 0759-1,中7.2490,中PDF7.269,揚34.5
十二月一日三首 // 3473-2 0759-2,中7.2490,中PDF7.269,揚34.5
十二月一日三首 // 3473-3 0759-3,中7.2490,中PDF7.269,揚34.5
又雪 // 3480 0760,中7.2490,中PDF7.269,揚34.6
奉漢中王手札 // 3890 0761,中7.2491,中PDF7.270,揚34.6
贈崔十三評事公輔 // 3598 0762,中7.2491,中PDF7.270,揚34.6
長江二首 // 3442-1 0763-1,中7.2491,中PDF7.270,揚34.7
長江二首 // 3442-2 0763-2,中7.2491,中PDF7.270,揚34.7
承聞故房相公靈櫬自閬州啓殯歸葬東都有作二首 // 3447-1 0764-1,中7.2492,中PDF7.271,揚34.7
承聞故房相公靈櫬自閬州啓殯歸葬東都有作二首 // 3447-2 0764-2,中7.2492,中PDF7.271,揚34.7
雲安九日鄭十八攜酒陪諸公宴 // 3436 0765,中7.2492,中PDF7.271,揚34.7
答鄭十七郞一絕 // 3438 0766,中7.2492,中PDF7.271,揚34.7
將曉二首 // 3454-1 0767-1,中7.2492,中PDF7.271,揚34.7
將曉二首 // 3454-2 0767-2,中7.2492,中PDF7.271,揚34.7
懷錦水居止二首 // 3459-1 0768-1,中7.2493,中PDF7.272,揚34.8
懷錦水居止二首 // 3459-2 0768-2,中7.2493,中PDF7.272,揚34.8
子規 // 3498 0769,中7.2493,中PDF7.272,揚34.8
立春 // 4361 0770,中7.2493,中PDF7.272,揚34.8
漫成一絕 // 3535 0771,中7.2493,中PDF7.272,揚34.8
老病 // 4379 0772,中7.2493,中PDF7.272,揚34.8
南楚 // 3485 0773,中7.2494,中PDF7.273,揚34.8
寄常徵君 // 3521 0774,中7.2494,中PDF7.273,揚34.9
寄岑嘉州 // 3525 0775,中7.2494,中PDF7.273,揚34.9
移居夔州郭 // 3529 0776,中7.2494,中PDF7.273,揚34.9
船下夔州郭宿雨溼不得上岸別王十二判官 // 3531 0777,中7.2494,中PDF7.273,揚34.9
雨不絕 // 3708 0778,中7.2495,中PDF7.274,揚34.9
崔評事弟許相迎不到應慮老夫見泥雨怯出必愆佳期走筆戲簡 // 4382 0779,中7.2495,中PDF7.274,揚34.10
宿江邊閣 // 3867 0780,中7.2495,中PDF7.274,揚34.10
夜宿西閣曉呈元二十一曹長 // 4248 0781,中7.2495,中PDF7.274,揚34.10
西閣口號 // 4253 0782,中7.2495,中PDF7.274,揚34.10
西閣雨望 // 3870 0783,中7.2495,中PDF7.274,揚34.10
不離西閣二首 // 4282-1 0784-1,中7.2496,中PDF7.275,揚34.10
不離西閣二首 // 4282-2 0784-2,中7.2496,中PDF7.275,揚34.10
西閣三度期大昌嚴明府同宿不到 // 3881 0785,中7.2496,中PDF7.275,揚34.11
西閣二首 // 3873-1 0786-1,中7.2496,中PDF7.275,揚34.11
西閣二首 // 3873-2 0786-2,中7.2496,中PDF7.275,揚34.11
閣夜 // 4256 0787,中7.2496,中PDF7.275,揚34.11
西閣夜 // 3879 0788,中7.2497,中PDF7.276,揚34.11
瀼西寒望 // 4268 0789,中7.2497,中PDF7.276,揚34.11
入宅三首 // 4420-1 0790-1,中7.2497,中PDF7.276,揚34.12
入宅三首 // 4420-2 0790-2,中7.2497,中PDF7.276,揚34.12
入宅三首 // 4420-3 0790-3,中7.2497,中PDF7.276,揚34.12
赤甲 // 4428 0791,中7.2497,中PDF7.276,揚34.12
卜居 // 4442 0792,中7.2498,中PDF7.277,揚34.12
暮春題瀼西新賃草屋五首 // 4446-1 0793-1,中7.2498,中PDF7.277,揚34.12
暮春題瀼西新賃草屋五首 // 4446-2 0793-2,中7.2498,中PDF7.277,揚34.12
暮春題瀼西新賃草屋五首 // 4446-3 0793-3,中7.2498,中PDF7.277,揚34.12
暮春題瀼西新賃草屋五首 // 4446-4 0793-4,中7.2498,中PDF7.277,揚34.12
暮春題瀼西新賃草屋五首 // 4446-5 0793-5,中7.2498,中PDF7.277,揚34.12
園 // 4540 0794,中7.2499,中PDF7.278,揚34.13
豎子至 // 4536 0795,中7.2499,中PDF7.278,揚34.13
示獠奴阿段 // 3546 0796,中7.2499,中PDF7.278,揚34.13
秋野五首 // 4921-1 0797-1,中7.2499,中PDF7.278,揚34.13
秋野五首 // 4921-2 0797-2,中7.2499,中PDF7.278,揚34.13
秋野五首 // 4921-3 0797-3,中7.2499,中PDF7.278,揚34.13
秋野五首 // 4921-4 0797-4,中7.2499,中PDF7.278,揚34.13
秋野五首 // 4921-5 0797-5,中7.2499,中PDF7.278,揚34.13
溪上 // 4698 0798,中7.2500,中PDF7.279,揚34.14
樹間 // 4702 0799,中7.2500,中PDF7.279,揚34.14
課小豎鉏斫舍北果林枝蔓荒穢淨訖移牀三首 // 4934-1 0800-1,中7.2500,中PDF7.279,揚34.14
課小豎鉏斫舍北果林枝蔓荒穢淨訖移牀三首 // 4934-2 0800-2,中7.2500,中PDF7.279,揚34.14
課小豎鉏斫舍北果林枝蔓荒穢淨訖移牀三首 // 4934-3 0800-3,中7.2500,中PDF7.279,揚34.14
寒雨朝行視園樹 // 5128 0801,中7.2501,中PDF7.280,揚34.14
季秋江村 // 5124 0802,中7.2501,中PDF7.280,揚34.15
小園 // 5126 0803,中7.2501,中PDF7.280,揚34.15
自瀼西荆扉且移居東屯茅屋四首 // 5021-1 0804-1,中7.2501,中PDF7.280,揚34.15
自瀼西荆扉且移居東屯茅屋四首 // 5021-2 0804-2,中7.2501,中PDF7.280,揚34.15
自瀼西荆扉且移居東屯茅屋四首 // 5021-3 0804-3,中7.2501,中PDF7.280,揚34.15
自瀼西荆扉且移居東屯茅屋四首 // 5021-4 0804-4,中7.2501,中PDF7.280,揚34.15
茅堂檢校收稻二首 // 5201-1 0805-1,中7.2502,中PDF7.281,揚34.16
茅堂檢校收稻二首 // 5201-2 0805-2,中7.2502,中PDF7.281,揚34.16
東屯月夜 // 5191 0806,中7.2502,中PDF7.281,揚34.16
東屯北崦 // 5194 0807,中7.2502,中PDF7.281,揚34.16
從驛次草堂復至東屯二首 // 5196-1 0808-1,中7.2503,中PDF7.282,揚34.16
從驛次草堂復至東屯二首 // 5196-2 0808-2,中7.2503,中PDF7.282,揚34.16
暫往白帝復還東屯 // 5199 0809,中7.2503,中PDF7.282,揚34.16
刈稻了詠懷 // 5210 0810,中7.2503,中PDF7.282,揚34.17
上白帝城 // 3553 0811,中7.2503,中PDF7.282,揚34.17
上白帝城二首 // 3556-1 0812-1,中7.2503,中PDF7.282,揚34.17
上白帝城二首 // 3556-2 0812-2,中7.2503,中PDF7.282,揚34.17
武侯廟 // 3569 0813,中7.2504,中PDF7.283,揚34.17
八陣圖 // 3572 0814,中7.2504,中PDF7.283,揚34.17
謁先主廟 // 4145 0815,中7.2504,中PDF7.283,揚34.17
白鹽山 // 3734 0816,中7.2504,中PDF7.283,揚34.18
灩澦堆 // 3737 0817,中7.2505,中PDF7.284,揚34.18
灩澦 // 4620 0818,中7.2505,中PDF7.284,揚34.18
白帝 // 3740 0819,中7.2505,中PDF7.284,揚34.18
白帝城樓 // 4275 0820,中7.2505,中PDF7.284,揚34.18
曉望白帝城鹽山 // 4373 0821,中7.2505,中PDF7.284,揚34.19
白帝城最高樓 // 3564 0822,中7.2506,中PDF7.285,揚34.19
白帝樓 // 4272 0823,中7.2506,中PDF7.285,揚34.19
陪諸公上白帝城宴越公堂之作 // 3561 0824,中7.2506,中PDF7.285,揚34.19
峽隘 // 5377 0825,中7.2506,中PDF7.285,揚34.19
諸葛廟 // 4708 0826,中7.2506,中PDF7.285,揚34.19
峽口二首 // 4224-1 0827-1,中7.2506,中PDF7.285,揚34.20
峽口二首 // 4224-2 0827-2,中7.2506,中PDF7.285,揚34.20
天池 // 4915 0828,中7.2507,中PDF7.286,揚34.20
瞿塘兩崖 // 4239 0829,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-1 0830-1,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-2 0830-2,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-3 0830-3,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-4 0830-4,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-5 0830-5,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-6 0830-6,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-7 0830-7,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-8 0830-8,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-10 0830-9,中7.2507,中PDF7.286,揚34.20
夔州歌十絕句 // 3747-9 0830-10,中7.2507,中PDF7.286,揚34.20
