杜工部詩集卷之一
開元天寶間公居東都遊齊趙及歸京師作
遊龍門奉先寺 // 0042 PDF75,哈PDF50
哭李尚書 // 5601 PDF831,哈PDF842
重題 // 5607 PDF832,哈PDF843
哭李常侍嶧二首 // 5579 PDF832,哈PDF843
舟中出江陵南浦奉寄鄭少尹審 // 5593 PDF833,哈PDF844
移居公安山館 // 5598 PDF833,哈PDF844
醉歌行贈公安顔少府請顧八題壁 // 5609 PDF834,哈PDF844
送顧八分文學適洪吉州 // 5612 PDF834,哈PDF845
官亭夕坐戲簡顏十少府 // 5622 PDF836,哈PDF847
移居公安敬贈衞大郎 // 5624 PDF836,哈PDF847
贈虞十五司馬 // 2321 PDF837,哈PDF848
公安送韋二少府匡贊 // 5628 PDF837,哈PDF848
公安縣懷古 // 5631 PDF838,哈PDF849
宴王使君宅題二首 // 5633 PDF838,哈PDF849
送覃二判官 // 5586 PDF839,哈PDF850
公安送李二十九弟晉肅入蜀余下沔鄂 // 5639 PDF839,哈PDF850
畱别公安大易沙門 // 5642 PDF840,哈PDF851
曉發公安 // 5649 PDF840,哈PDF851
發劉郎浦 // 5653 PDF840,哈PDF851
别董頲 // 5655 PDF841,哈PDF852
夜聞𥷑篥 // 5659 PDF841,哈PDF852
歲晏行 // 5661 PDF842,哈PDF853
泊岳陽城下 // 5667 PDF843,哈PDF854
纜船苦風戲題四韻奉簡鄭十三判官 // 5670 PDF843,哈PDF854
登岳陽樓 // 5673 PDF843,哈PDF854
陪裴使君登岳陽樓 // 5680 PDF844,哈PDF854
過南岳入洞庭湖 // 5689 PDF844,哈PDF855
宿青草湖 // 5694 PDF845,哈PDF855
宿白沙驛 // 5696 PDF845,哈PDF856
湘夫人祠 // 5699 PDF846,哈PDF856
祠南夕望 // 5703 PDF846,哈PDF856
上水遣懷 // 5708 PDF846,哈PDF857
遣遇 // 5715 PDF847,哈PDF858
解憂 // 5718 PDF848,哈PDF858
宿鑿石浦 // 5760 PDF848,哈PDF859
早行 // 5755 PDF849,哈PDF859
過津口 // 5774 PDF849,哈PDF859
次空靈岸 // 5777 PDF850,哈PDF860
宿花石戍 // 5780 PDF850,哈PDF860
早發 // 5784 PDF851,哈PDF861
次晚洲 // 5788 PDF851,哈PDF861
登白馬潭 // 5705 PDF852,哈PDF862
野望 // 5757 PDF852,哈PDF862
入喬口 // 5722 PDF853,哈PDF862
銅官渚守風 // 5728 PDF853,哈PDF863
北風 // 5724 PDF854,哈PDF863
雙楓浦 // 5730 PDF854,哈PDF864
清明二首 // 5743 PDF855,哈PDF864
望岳 // 5792 PDF856,哈PDF865
岳麓山道林二寺行 // 5732 PDF857,哈PDF867
奉送韋中丞之晉赴湖南 // 5339 PDF859,哈PDF869
詠懷二首 // 5763 PDF859,哈PDF869
發潭州 // 5752 PDF861,哈PDF871
酬郭十五判官 // 5799 PDF862,哈PDF871
衡州送李大夫七丈赴廣州 // 5803 PDF863,哈PDF872
廻棹 // 6069 PDF863,哈PDF872

杜工部詩集卷之二十
大曆中公居湖南作
湘江宴餞裴二端公赴道州 // 5815 PDF865,哈PDF877
寄李十四員外布十二韻 // 5517 PDF866,哈PDF878
哭韋大夫之晉 // 5809 PDF867,哈PDF879
江閣臥病走筆寄呈崔盧兩侍御 // 6075 PDF868,哈PDF880
潭州送韋員外牧韶州 // 5821 PDF868,哈PDF881
酬韋韶州見寄 // 5824 PDF869,哈PDF881
樓上 // 5826 PDF870,哈PDF882
千秋節有感二首 // 5828 PDF870,哈PDF882
奉贈盧五丈叅謀琚 // 5835 PDF871,哈PDF883
重送劉十弟判官 // 5846 PDF872,哈PDF884
登舟將適漢陽 // 5849 PDF873,哈PDF885
湖中送敬十使君適廣陵 // 5852 PDF873,哈PDF885
長沙送李十一 // 6090 PDF873,哈PDF885
晚秋長沙蔡五侍御飲筵送殷六參軍歸澧州覲省 // 5898 PDF874,哈PDF920
送盧十四弟侍御護韋尚書靈櫬歸上都二十四韻 // 5901 PDF874,哈PDF886
暮秋將歸秦畱别湖南幕府親友 // 6087 PDF876,哈PDF887
蘇大侍御渙靜者也旅於江側凡是不交州府之客人事都絕久矣肩輿江浦忽訪老夫舟檝而已茶酒內余請誦近詩肯吟數首才力素壯辭句動人接對明日憶其湧思雷出書篋几杖之外殷殷畱金石聲賦八韻記異亦見老夫傾倒於蘇至矣 // 5855 PDF876,哈PDF887
暮秋枉裴道州手札率爾遣興寄逓呈蘇渙侍御 // 5862 PDF877,哈PDF888
奉贈李八丈曛判官 // 5871 PDF879,哈PDF890
别張十三建封 // 5876 PDF879,哈PDF891
奉送魏六丈佑少府之交廣 // 5908 PDF881,哈PDF893
北風 // 5887 PDF882,哈PDF894
幽人 // 5889 PDF882,哈PDF894
風疾舟中伏枕書懷三十六韻奉呈湖南親友 // 6093 PDF883,哈PDF895
奉贈蕭十二使君 // 5965 PDF886,哈PDF898
舟中夜雪有懷盧十四侍御弟 // 5916 PDF888,哈PDF899
對雪 // 5919 PDF888,哈PDF899
冬晚送長孫漸舍人歸州 // 5923 PDF888,哈PDF900
暮冬送蘇四郎徯兵曹適桂州 // 5926 PDF889,哈PDF900
客從 // 5929 PDF889,哈PDF901
蠶穀行 // 5932 PDF890,哈PDF901
白鳧行 // 5934 PDF890,哈PDF901
朱鳳行 // 5938 PDF891,哈PDF902
追酬故高蜀州人日見寄 // 5941 PDF891,哈PDF902
送重表姪王砅評事使南海 // 5948 PDF892,哈PDF904
清明 // 6007 PDF895,哈PDF906
風雨看舟前落花戲爲新句 // 5989 PDF896,哈PDF907
奉送二十三舅錄事之攝郴州 // 5973 PDF896,哈PDF908
送魏二十四司直充嶺南掌選崔郎中判官兼寄韋韶州 // 5976 PDF897,哈PDF908
送趙十七明府之縣 // 5979 PDF898,哈PDF909
同豆盧峰貽主客李員外賢子棐知字韻 // 5982 PDF898,哈PDF909
歸雁二首 // 5985 PDF899,哈PDF910
江南逢李龜年 // 5993 PDF899,哈PDF910
小寒食舟中作 // 6002 PDF900,哈PDF911
燕子來舟中作 // 5999 PDF900,哈PDF911
贈韋七贊善 // 6011 PDF900,哈PDF911
酬寇十侍御錫見寄四韻復寄寇 // 6014 PDF901,哈PDF912
入衡州 // 6018 PDF901,哈PDF912
白馬 // 6036 PDF904,哈PDF915
舟中苦熱遣懷奉呈陽中丞通簡臺省諸公 // 6039 PDF905,哈PDF916
江閣對雨有懷行營裴二端公 // 6079 PDF906,哈PDF917
題衡山縣文宣王廟新學堂呈陸宰 // 6048 PDF906,哈PDF917
聶耒陽以僕阻水書致酒肉療饑荒江詩得代懷興盡本韻至縣呈聶令陸路去方田驛四十里舟行一日時屬江漲泊於方田 // 6056 PDF907,哈PDF918

杜工部集外詩
狂歌行贈四兄 // 3396 PDF911,哈PDF923
呀鶻行 // 5584 PDF912,哈PDF924
惜别行送劉僕射判官 // 5841 PDF912,哈PDF924
送司馬入京 // 3052 PDF913,哈PDF925
瞿塘懷古 // 4244 PDF913,哈PDF926
逃難 // 6033 PDF913,哈PDF926
送靈州李判官 // 0896 PDF914,哈PDF926
寄高適 // 2651 PDF914,哈PDF927
與嚴二歸奉禮别 // 2949 PDF915,哈PDF927
巴西驛亭觀江漲呈竇十五使君二首 // 2823 PDF915,哈PDF927
又呈竇使君 // 2828 PDF915,哈PDF928
花底 // 2761 PDF916,哈PDF928
柳邊 // 2764 PDF916,哈PDF928
題郪縣郭三十二明府茅屋壁 // 2917 PDF916,哈PDF928
奉送崔都水翁下峽 // 2766 PDF917,哈PDF929
送竇九歸成都 // 2913 PDF917,哈PDF929
東津送韋諷攝閬州錄事 // 2636 PDF917,哈PDF929
隨章留後新亭會送諸君 // 2896 PDF918,哈PDF930
客舊舘 // 2902 PDF918,哈PDF930
遣悶戲呈路十九曹長 // 4397 PDF918,哈PDF930
閬州奉送二十四舅使自京赴任青城 // 2930 PDF919,哈PDF930
贈裴南部 // 2952 PDF919,哈PDF931
遣憂 // 2976 PDF919,哈PDF931
巴山 // 2979 PDF920,哈PDF932
早花 // 3014 PDF920,哈PDF932
收京 // 3049 PDF921,哈PDF932
巴西聞收京送班司馬入京 // 3052 PDF921,哈PDF932
愁坐 // 2958 PDF921,哈PDF933
陪鄭公秋晚北池臨眺 // 3290 PDF922,哈PDF933
哭台州鄭司戶蘇少監 // 3312 PDF922,哈PDF934
去蜀 // 3390 PDF923,哈PDF935
放船 // 3433 PDF923,哈PDF935
送王侍御往東川放生池祖席 // 3331 PDF924,哈PDF935
惠義寺送王少尹赴成都 // 2817 PDF924,哈PDF935
避地 // 0745 PDF924,哈PDF936
惠義寺送辛員外 // 2819 PDF925,哈PDF936
又送 // 2820 PDF925,哈PDF936
長吟 // 3370 PDF925,哈PDF936
絕句九首 // 3361 PDF925,哈PDF937
送惠二歸故居 // 4486 PDF926,哈PDF937
過洞庭湖 // 6083 PDF926,哈PDF938
漢州王大錄事宅作 // 2845 PDF927,哈PDF938

他集互見四首
哭長孫侍御 // 6497 PDF928,哈PDF939
虢國夫人 // 0353 PDF928,哈PDF939
軍中醉歌寄沈八劉叟 // 3234 PDF929,哈PDF940
杜鵑行 // 1994 PDF929,哈PDF940,哈PDF940

=====
頁碼說名：
1994 PDF929,哈PDF940
1994 蕭滌非主編《杜甫全集校注》頁碼
PDF929 朱鹤龄辑注《杜工部诗集辑注》（河北大学出版社2009）
哈PDF940 哈佛大學藏朱鶴齡《杜工部詩集輯注》
