杜詩詳註卷之一
遊龍門奉先寺 // 0042 1.1,PDF1.74,津PDF2.2,PDF1.82
中夜 // 3933 4.1460,PDF4.8,津PDF11.5,
垂白 // 3915 4.1462,PDF4.10,津PDF11.6,
中宵 // 3906 4.1462,PDF4.10,津PDF11.6,
不寐 // 3910 4.1463,PDF4.11,津PDF11.6,
送十五弟侍御使蜀 // 4604 4.1464,PDF4.12,津PDF11.7,
江月 // 3927 4.1465,PDF4.13,津PDF11.7,
月圓 // 3904 4.1466,PDF4.14,津PDF11.8,
夜 // 3785 4.1467,PDF4.15,津PDF11.8,
草閣 // 3924 4.1468,PDF4.16,津PDF11.9,
宿江邊閣 // 3867 4.1469,PDF4.17,津PDF11.10,
吹笛 // 3943 4.1470,PDF4.18,津PDF11.10,
西閣雨望 // 3870 4.1472,PDF4.20,津PDF11.12,
西閣三度期大昌嚴明府同宿不到 // 3881 4.1472,PDF4.20,津PDF11.12,
西閣二首 // 3873 4.1473,PDF4.21,津PDF11.13,
西閣夜 // 3879 4.1475,PDF4.23,津PDF11.14,
月 // 5148 4.1476,PDF4.24,津PDF11.14,
宗武生日 // 2647 4.1477,PDF4.25,津PDF11.15,
第五弟豐獨在江左近三四載寂無消息覓使寄此二首 // 4718 4.1478,PDF4.26,津PDF11.16,
聽楊氏歌 // 3863 4.1480,PDF4.28,津PDF11.16,
秋風二首 // 4686 4.1481,PDF4.29,津PDF11.17,
九日諸人集於林 // 3937 4.1483,PDF4.31,津PDF11.18,
秋興八首 // 3789 4.1484,PDF4.32,津PDF11.19,
詠懷古迹五首 // 3841 4.1499,PDF4.47,津PDF11.30,
寄韓諫議 // 4822 4.1508,PDF4.56,津PDF11.37,
解悶十二首 // 4940 4.1511,PDF4.59,津PDF11.39,
洞房 // 4965 4.1519,PDF4.67,津PDF11.45,
宿昔 // 4969 4.1521,PDF4.69,津PDF11.45,
能畫 // 4972 4.1522,PDF4.70,津PDF11.46,
鬬雞 // 4976 4.1523,PDF4.71,津PDF11.47,
歷歷 // 4979 4.1524,PDF4.72,津PDF11.48,
洛陽 // 4982 4.1525,PDF4.73,津PDF11.48,
驪山 // 4985 4.1526,PDF4.74,津PDF11.49,
提封 // 4988 4.1527,PDF4.75,津PDF11.50,
鸚鵡 // 4995 4.1529,PDF4.77,津PDF11.51,
孤雁 // 4997 4.1530,PDF4.78,津PDF11.51,
鷗 // 5214 4.1531,PDF4.79,津PDF11.52,
猿 // 5217 4.1532,PDF4.80,津PDF11.52,
麂 // 5219 4.1533,PDF4.81,津PDF11.53,
雞 // 5223 4.1534,PDF4.82,津PDF11.54,
黄魚 // 5226 4.1535,PDF4.83,津PDF11.54,
白小 // 5228 4.1536,PDF4.84,津PDF11.55,
哭王彭州掄 // 4184 4.1537,PDF4.85,津PDF11.55,

杜詩詳註卷之十八
偶題 // 4194 4.1541,PDF4.89,津PDF11.58,
君不見簡蘇徯 // 4754 4.1546,PDF4.94,津PDF11.60,
贈蘇四徯 // 4758 4.1546,PDF4.94,津PDF11.61,
别蘇徯 // 4764 4.1548,PDF4.96,津PDF11.62,
李潮八分小篆歌 // 4213 4.1550,PDF4.98,津PDF11.63,
峽口二首 // 4224 4.1554,PDF4.102,津PDF11.66,
南極 // 4231 4.1556,PDF4.104,津PDF11.67,
瞿唐兩崖 // 4239 4.1557,PDF4.105,津PDF11.67,
瞿唐懷古 // 4244 4.1558,PDF4.106,津PDF11.68,
夜宿西閣曉呈元二十一曹長 // 4248 4.1559,PDF4.107,津PDF11.69,
西閣口號呈元二十一 // 4253 4.1560,PDF4.108,津PDF11.69,
閣夜 // 4256 4.1561,PDF4.109,津PDF11.70,
瀼西寒望 // 4268 4.1562,PDF4.110,津PDF11.71,
西閣曝日 // 4278 4.1563,PDF4.111,津PDF11.71,
不離西閣二首 // 4282 4.1564,PDF4.112,津PDF11.72,
縛雞行 // 4350 4.1566,PDF4.114,津PDF11.73,
小至 // 5328 4.1567,PDF4.115,津PDF11.73,
寄柏學士林居 // 5110 4.1568,PDF4.116,津PDF11.74,
折檻行 // 4355 4.1570,PDF4.118,津PDF11.75,
覽柏中丞兼子姪數人除官制詞因述父子兄弟四美載歌絲綸 // 4291 4.1571,PDF4.119,津PDF11.76,
覽鏡呈柏中丞 // 4299 4.1575,PDF4.123,津PDF11.79,
陪柏中丞觀宴將士二首 // 4303 4.1576,PDF4.124,津PDF11.79,
奉送蜀州柏二别駕將中丞命赴江陵起居衞尚書太夫人因示從弟行軍司馬位 // 4310 4.1578,PDF4.126,津PDF11.8,
送鮮于萬州遷巴州 // 5342 4.1580,PDF4.128,津PDF11.81,
奉送十七舅下邵桂 // 5345 4.1580,PDF4.128,津PDF11.82,
荆南兵馬使太常卿趙公大食刀歌 // 4318 4.1581,PDF4.129,津PDF11.82,
王兵馬使二角鷹 // 4328 4.1584,PDF4.132,津PDF11.84,
見王監兵馬使説近山有白黑二鷹羅者久取竟未能得王以爲毛骨有異他鷹恐臘後春生鶱飛避暖勁翮思秋之甚眇不可見請余賦詩二首 // 4337 4.1587,PDF4.135,津PDF11.86,
玉腕騮 // 5244 4.1589,PDF4.137,津PDF11.88,
醉爲馬墜諸公攜酒相看 // 4501 4.1590,PDF4.138,津PDF11.88,
覆舟二首 // 3885 4.1592,PDF4.140,津PDF11.90,
送李功曹之荆州充鄭侍御判官重贈 // 4180 4.1594,PDF4.142,津PDF11.91,
送王十六判官 // 4235 4.1595,PDF4.143,津PDF11.91,
别崔潩因寄薛據孟雲卿 // 4769 4.1596,PDF4.144,津PDF11.91,
寄杜位 // 5243 4.1596,PDF4.144,津PDF11.92,
立春 // 4361 4.1597,PDF4.145,津PDF11.92,
江梅 // 4367 4.1598,PDF4.146,津PDF11.93,
庭草 // 4371 4.1598,PDF4.146,津PDF11.93,
愁 // 4387 4.1599,PDF4.147,津PDF11.94,
王十五前閣會 // 4377 4.1600,PDF4.148,津PDF11.95,
崔評事弟許相迎不到應慮老夫見泥雨怯出必愆佳期走筆戲簡 // 4382 4.1601,PDF4.149,津PDF11.95,
遣悶戲呈路十九曹長 // 4397 4.1602,PDF4.150,津PDF11.95,
晝夢 // 4393 4.1603,PDF4.151,津PDF11.96,
暮春 // 4433 4.1604,PDF4.152,津PDF11.97,
即事 // 4438 4.1605,PDF4.153,津PDF11.97,
懷灞上遊 // 4413 4.1606,PDF4.154,津PDF11.98,
入宅三首 // 4420 4.1606,PDF4.154,津PDF11.98,
赤甲 // 4428 4.1608,PDF4.156,津PDF11.99,
卜居 // 4442 4.1609,PDF4.157,津PDF11.100,
暮春題瀼西新賃草屋五首 // 4446 4.1610,PDF4.158,津PDF11.100,
寄從孫崇簡 // 5113 4.1613,PDF4.161,津PDF11.102,
江雨有懷鄭典設 // 4462 4.1614,PDF4.162,津PDF11.102,
熟食日示宗文宗武 // 4466 4.1615,PDF4.163,津PDF11.103,
又示兩兒 // 4470 4.1615,PDF4.163,津PDF11.103,
得舍弟觀書自中都已達江陵今茲暮春月末行李合到夔州悲喜相兼團圓可待賦詩即事情見乎詞 // 4474 4.1616,PDF4.164,津PDF11.104,
喜觀即到復題短篇二首 // 4477 4.1617,PDF4.165,津PDF11.104,
晚登瀼上堂 // 4496 4.1619,PDF4.167,津PDF11.106,
寄薛三郎中璩 // 4489 4.1620,PDF4.168,津PDF11.107,
送惠二歸故居 // 4486 4.1623,PDF4.171,津PDF11.108,
承聞河北諸道節度入朝歡喜口號絶句十二首 // 4507 4.1624,PDF4.172,津PDF11.109,
月三首 // 4593 4.1629,PDF4.177,津PDF11.112,
晨雨 // 4416 4.1631,PDF4.179,津PDF11.113,

杜詩詳註卷之十九
過客相尋 // 4533 4.1633,PDF4.181,津PDF12.2,
豎子至 // 4536 4.1634,PDF4.182,津PDF12.2,
園 // 4540 4.1634,PDF4.182,津PDF12.3,
歸 // 4543 4.1635,PDF4.183,津PDF12.3,
園官送菜 // 4546 4.1636,PDF4.184,津PDF12.3,
園人送瓜 // 4551 4.1638,PDF4.186,津PDF12.5,
課伐木 // 4556 4.1639,PDF4.187,津PDF12.6,
柴門 // 4566 4.1643,PDF4.191,津PDF12.8,
槐葉冷淘 // 4573 4.1645,PDF4.193,津PDF12.9,
上後園山脚 // 4578 4.1647,PDF4.195,津PDF12.10,
季夏送鄉弟韶陪黄門從叔朝謁 // 4614 4.1648,PDF4.196,津PDF12.11,
灩澦 // 4620 4.1650,PDF4.198,津PDF12.12,
七月一日題終明府水樓二首 // 4634 4.1651,PDF4.199,津PDF12.13,
行官張望補稻畦水歸 // 4627 4.1654,PDF4.202,津PDF12.14,
秋行官張望督促東渚耗稻向畢清晨遣女奴阿稽豎子阿段往問 // 4644 4.1656,PDF4.204,津PDF12.16,
阻雨不得歸瀼西甘林 // 4653 4.1659,PDF4.207,津PDF12.17,
又上後園山脚 // 4659 4.1661,PDF4.209,津PDF12.19,
奉送王信州崟北歸 // 4584 4.1663,PDF4.211,津PDF12.20,
驅豎子摘蒼耳 // 3678 4.1665,PDF4.213,津PDF12.21,
甘林 // 4667 4.1667,PDF4.215,津PDF12.22,
暇日小園散病將種秋菜督勒耕牛兼書觸目 // 4673 4.1669,PDF4.217,津PDF12.24,
雨 // 4679 4.1671,PDF4.219,津PDF12.25,
溪上 // 4698 4.1672,PDF4.220,津PDF12.26,
樹間 // 4702 4.1673,PDF4.221,津PDF12.26,
白露 // 4704 4.1674,PDF4.222,津PDF12.26,
諸葛廟 // 4708 4.1674,PDF4.222,津PDF12.27,
見螢火 // 4692 4.1676,PDF4.224,津PDF12.28,
夜雨 // 4711 4.1677,PDF4.225,津PDF12.28,
更題 // 4714 4.1677,PDF4.225,津PDF12.29,
舍弟觀歸藍田迎新婦送示二首 // 4607 4.1678,PDF4.226,津PDF12.29,
别李秘書始興寺所居 // 4750 4.1679,PDF4.227,津PDF12.30,
送李八秘書赴杜相公幕 // 4743 4.1680,PDF4.228,津PDF12.30,
巫峽敝廬奉贈侍御四舅别之澧朗 // 4773 4.1681,PDF4.229,津PDF12.31,
孟氏 // 4776 4.1682,PDF4.230,津PDF12.32,
吾宗 // 4781 4.1683,PDF4.231,津PDF12.32,
奉酬薛十二丈判官見贈 // 4786 4.1684,PDF4.232,津PDF12.33,
寄狄明府博濟 // 4803 4.1688,PDF4.236,津PDF12.35,
同元使君舂陵行 // 4813 4.1691,PDF4.239,津PDF12.37,
秋日夔府詠懷奉寄鄭監李賓客一百韻 // 4834 4.1699,PDF4.247,津PDF12.42,
寄劉峽州伯華使君四十韻 // 4892 4.1717,PDF4.265,津PDF12.52,
秋清 // 5155 4.1724,PDF4.272,津PDF12.57,
秋峽 // 5153 4.1725,PDF4.273,津PDF12.57,
搖落 // 3921 4.1726,PDF4.274,津PDF12.58,
峽隘 // 5377 4.1727,PDF4.275,津PDF12.58,

杜詩詳註卷之二十
秋日寄題鄭監湖上亭三首 // 3947 4.1729,PDF4.277,津PDF12.59,
秋野五首 // 4921 4.1732,PDF4.280,津PDF12.61,
課小豎鋤斫舍北果林枝蔓荒穢淨訖移牀三首 // 4934 4.1735,PDF4.283,津PDF12.63,
返照 // 5018 4.1738,PDF4.286,津PDF12.64,
向夕 // 5230 4.1739,PDF4.287,津PDF12.65,
天池 // 4915 4.1740,PDF4.288,津PDF12.65,
復愁十二首 // 5063 4.1741,PDF4.289,津PDF12.66,
自瀼西荆扉且移居東屯茅屋四首 // 5021 4.1746,PDF4.294,津PDF12.69,
社日兩篇 // 5001 4.1749,PDF4.297,津PDF12.70,
八月十五夜月二首 // 5005 4.1750,PDF4.298,津PDF12.71,
十六夜玩月 // 5010 4.1752,PDF4.300,津PDF12.72,
十七夜對月 // 5013 4.1752,PDF4.300,津PDF12.73,
曉望 // 5030 4.1753,PDF4.301,津PDF12.73,
日暮 // 5015 4.1754,PDF4.302,津PDF12.74,
暝 // 5032 4.1755,PDF4.303,津PDF12.74,
晚 // 5035 4.1756,PDF4.304,津PDF12.75,
夜 // 5138 4.1756,PDF4.304,津PDF12.75,
九月一日過孟十二倉曹十四主簿兄弟 // 5045 4.1757,PDF4.305,津PDF12.76,
孟倉曹步趾領新酒醬二物滿器見遺老夫 // 5047 4.1758,PDF4.306,津PDF12.76,
送孟十二倉曹赴東京選 // 5050 4.1759,PDF4.307,津PDF12.77,
憑孟倉曹將書覓土婁舊莊 // 5052 4.1760,PDF4.308,津PDF12.77,
簡吴郎司法 // 5054 4.1761,PDF4.309,津PDF12.78,
又呈吴郎 // 5056 4.1762,PDF4.310,津PDF12.78,
晚晴吴郎見過北舍 // 5061 4.1763,PDF4.311,津PDF12.79,
九日五首 // 5081 4.1764,PDF4.312,津PDF12.79,
登高 // 5092 4.1766,PDF4.314,津PDF12.81,
覃山人隱居 // 5098 4.1768,PDF4.316,津PDF12.82,
東屯月夜 // 5191 4.1769,PDF4.317,津PDF12.83,
東屯北崦 // 5194 4.1771,PDF4.319,津PDF12.84,
從驛次草堂復至東屯茅屋二首 // 5196 4.1771,PDF4.319,津PDF12.84,
暫往白帝復還東屯 // 5199 4.1772,PDF4.320,津PDF12.85,
茅堂檢校收稻二首 // 5201 4.1773,PDF4.321,津PDF12.85,
刈稻了詠懷 // 5210 4.1774,PDF4.322,津PDF12.86,
季秋蘇五弟纓江樓夜宴崔十三評事韋少府姪三首 // 5116 4.1775,PDF4.323,津PDF12.86,
戲寄崔評事表姪蘇五表弟韋大少府諸姪 // 5122 4.1777,PDF4.325,津PDF12.87,
季秋江村 // 5124 4.1778,PDF4.326,津PDF12.88,
小園 // 5126 4.1779,PDF4.327,津PDF12.88,
寒雨朝行視園樹 // 5128 4.1779,PDF4.327,津PDF12.88,
傷秋 // 5133 4.1782,PDF4.330,津PDF12.90,
即事 // 5135 4.1782,PDF4.330,津PDF12.91,
耳聾 // 5140 4.1784,PDF4.332,津PDF12.91,
獨坐二首 // 5143 4.1784,PDF4.332,津PDF12.92,
雲 // 5156 4.1786,PDF4.334,津PDF12.93,
大曆二年九月三十日 // 5205 4.1787,PDF4.335,津PDF12.93,
十月一日 // 5207 4.1787,PDF4.335,津PDF12.93,
孟冬 // 5212 4.1788,PDF4.336,津PDF12.94,
雷 // 5232 4.1789,PDF4.337,津PDF12.94,
悶 // 5239 4.1790,PDF4.338,津PDF12.95,
夜二首 // 5158 4.1790,PDF4.338,津PDF12.95,
朝二首 // 5235 4.1791,PDF4.339,津PDF12.96,
戲作俳諧體遣悶二首 // 5171 4.1793,PDF4.341,津PDF12.97,
昔遊 // 5180 4.1795,PDF4.343,津PDF12.98,
雨四首 // 5164 4.1798,PDF4.346,津PDF12.100,
大覺高僧蘭若 // 5188 4.1801,PDF4.349,津PDF12.102,
謁眞諦寺禪師 // 5257 4.1802,PDF4.350,津PDF12.103,
上卿翁請修武侯廟遺像缺落時崔卿權夔州 // 5247 4.1803,PDF4.351,津PDF12.103,
奉送卿二翁統節度鎭軍還江陵 // 5250 4.1804,PDF4.352,津PDF12.104,
久雨期王將軍不至 // 5253 4.1804,PDF4.352,津PDF12.104,
虎牙行 // 5261 4.1806,PDF4.354,津PDF12.106,
錦樹行 // 5265 4.1808,PDF4.356,津PDF12.106,
自平 // 5269 4.1809,PDF4.357,津PDF12.107,
寄裴施州 // 5275 4.1810,PDF4.358,津PDF12.108,
鄭典設自施州歸 // 5281 4.1812,PDF4.360,津PDF12.109,
觀公孫大娘弟子舞劍器行 // 5308 4.1815,PDF4.363,津PDF12.111,
寫懷二首 // 5288 4.1818,PDF4.366,津PDF12.113,

杜詩詳註卷之二十一
冬至 // 5325 4.1823,PDF4.371,津PDF13.2,
柳司馬至 // 5332 4.1824,PDF4.372,津PDF13.2,
别李義 // 5379 4.1825,PDF4.373,津PDF13.3,
送高司直尋封閬州 // 5335 4.1828,PDF4.376,津PDF13.5,
可歎 // 5297 4.1830,PDF4.378,津PDF13.6,
奉賀陽城郡王太夫人恩命加鄧國太夫人 // 5037 4.1834,PDF4.382,津PDF13.8,
送田四弟將軍將夔州柏中丞命起居江陵節度使陽城郡王衞公幕 // 5042 4.1835,PDF4.383,津PDF13.9,
題柏學士茅屋 // 5102 4.1836,PDF4.384,津PDF13.10,
題柏大兄弟山居屋壁二首 // 5106 4.1838,PDF4.386,津PDF13.11,
白帝樓 // 4272 4.1839,PDF4.387,津PDF13.12,
白帝城樓 // 4275 4.1840,PDF4.388,津PDF13.12,
有歎 // 5374 4.1841,PDF4.389,津PDF13.12,
舍弟觀赴藍田取妻子到江陵喜寄三首 // 5347 4.1841,PDF4.389,津PDF13.13,
夜歸 // 5357 4.1844,PDF4.392,津PDF13.14,
前苦寒行二首 // 5360 4.1845,PDF4.393,津PDF13.15,
晚晴 // 5369 4.1846,PDF4.394,津PDF13.16,
復陰 // 5372 4.1847,PDF4.395,津PDF13.17,
後苦寒行二首 // 5364 4.1848,PDF4.396,津PDF13.17,
元日示宗武 // 5385 4.1849,PDF4.397,津PDF13.18,
又示宗武 // 5388 4.1850,PDF4.398,津PDF13.18,
遠懷舍弟穎觀等 // 5391 4.1852,PDF4.400,津PDF13.19,
續得觀書迎就當陽居止正月中旬定出三峽 // 5393 4.1852,PDF4.400,津PDF13.20,
太歲日 // 5396 4.1854,PDF4.402,津PDF13.20,
人日兩篇 // 5400 4.1855,PDF4.403,津PDF13.21,
喜聞盜賊總退口號五首 // 5405 4.1857,PDF4.405,津PDF13.23,
送大理封主簿五郎親事不合却赴通州主簿前閬州賢子余與主簿平章鄭氏女子垂欲納采鄭氏伯父京書至女子已許他族親事遂停 // 5413 4.1860,PDF4.408,津PDF13.25,
將别巫峽贈南卿兄瀼西果園四十畝 // 5421 4.1862,PDF4.410,津PDF13.26,
巫山縣汾州唐使君十八弟宴别兼諸公攜酒樂相送率題小詩留於屋壁 // 5425 4.1863,PDF4.411,津PDF13.26,
敬寄族弟唐十八使君 // 5427 4.1863,PDF4.411,津PDF13.27,
春夜峽州田侍御長史津亭留宴 // 5432 4.1866,PDF4.414,津PDF13.28,
大曆三年春白帝城放船出瞿唐峽久居夔府將適江陵漂泊有詩凡四十韻 // 5434 4.1866,PDF4.414,津PDF13.28,
行次古城店泛江作不揆鄙拙奉呈江陵幕府諸公 // 5455 4.1874,PDF4.422,津PDF13.33,
泊松滋江亭 // 5452 4.1875,PDF4.423,津PDF13.34,
乘雨入行軍六弟宅 // 5458 4.1876,PDF4.424,津PDF13.34,
上巳日徐司録林園宴集 // 5460 4.1876,PDF4.424,津PDF13.34,
宴胡侍御書堂 // 5462 4.1878,PDF4.426,津PDF13.35,
書堂飲旣夜復邀李尚書下馬月下賦絶句 // 5464 4.1878,PDF4.426,津PDF13.36,
奉送蘇州李二十五長史丈之任 // 5466 4.1879,PDF4.427,津PDF13.36,
暮春江陵送馬大卿公恩命追赴闕下 // 5469 4.1880,PDF4.428,津PDF13.37,
和江陵宋大少府暮春雨後同諸公及舍弟宴書齋 // 5473 4.1882,PDF4.430,津PDF13.38,
暮春陪李尚書李中丞過鄭監湖亭泛舟 // 5475 4.1883,PDF4.431,津PDF13.38,
宇文晁崔彧重泛鄭監前湖 // 5477 4.1883,PDF4.431,津PDF13.39,
歸雁 // 5480 4.1884,PDF4.432,津PDF13.39,
短歌行贈王郎司直 // 5483 4.1888,PDF4.436,津PDF13.40,
憶昔行 // 5489 4.1888,PDF4.436,津PDF13.42,
惜别行送向卿進奉端午御衣之上都 // 5497 4.1890,PDF4.438,津PDF13.43,
夏日楊長寧宅送崔侍御常正字入京 // 5500 4.1892,PDF4.440,津PDF13.44,
夏夜李尚書筵送宇文石首赴縣聯句 // 5503 4.1892,PDF4.440,津PDF13.45,
多病執熱奉懷李尚書 // 5507 4.1893,PDF4.441,津PDF13.45,
水宿遣興奉呈羣公 // 5510 4.1894,PDF4.442,津PDF13.46,
遣悶 // 3935 4.1897,PDF4.445,津PDF13.48,
江邊星月 // 5538 4.1899,PDF4.447,津PDF13.49,
舟月對驛近寺 // 5526 4.1900,PDF4.448,津PDF13.49,
舟中 // 5528 4.1901,PDF4.449,津PDF13.50,
江陵節度使陽城郡王新樓成王請嚴侍御判官賦七字句同作 // 5530 4.1901,PDF4.449,津PDF13.50,
又作此奉衞王 // 5534 4.1903,PDF4.451,津PDF13.51,
秋日荆南述懷三十韻 // 5542 4.1904,PDF4.452,津PDF13.52,
秋日荆南送石首薛明府辭滿告别奉寄薛尚書頌德敍懷斐然之作三十韻 // 5557 4.1909,PDF4.457,津PDF13.55,

杜詩詳註卷之二十二
暮歸 // 5571 5.1915,PDF5.3,津PDF13.59,
哭李尚書 // 5601 5.1916,PDF5.4,津PDF13.60,
重題 // 5607 5.1918,PDF5.6,津PDF13.61,
哭李常侍嶧二首 // 5579 5.1919,PDF5.7,津PDF13.61,
舟中出江陵南浦奉寄鄭少尹審 // 5593 5.1920,PDF5.8,津PDF13.62,
移居公安山館 // 5624 5.1922,PDF5.10,津PDF13.63,
醉歌行贈公安顔十少府請顧八題壁 // 5609 5.1923,PDF5.11,津PDF13.63,
送顧八分文學適洪吉州 // 5612 5.1924,PDF5.12,津PDF13.64,
官亭夕坐戲簡顔十少府 // 5622 5.1927,PDF5.15,津PDF13.66,
移居公安敬贈衞大郎 // 5624 5.1928,PDF5.16,津PDF13.66,
公安送韋二少府匡贊 // 5628 5.1929,PDF5.17,津PDF13.67,
公安縣懷古 // 5631 5.1930,PDF5.18,津PDF13.67,
呀鶻行 // 5584 5.1931,PDF5.19,津PDF13.68,
宴王使君宅題二首 // 5633 5.1932,PDF5.20,津PDF13.69,
送覃二判官 // 5586 5.1933,PDF5.21,津PDF13.69,
公安送李二十九弟晉肅入蜀余下沔鄂 // 5639 5.1934,PDF5.22,津PDF13.70,
留别公安太易沙門 // 5642 5.1934,PDF5.22,津PDF13.70,
久客 // 5589 5.1936,PDF5.24,津PDF13.71,
冬深 // 5646 5.1936,PDF5.24,津PDF13.71,
曉發公安 // 5649 5.1937,PDF5.25,津PDF13.72,
發劉郎浦 // 5653 5.1939,PDF5.27,津PDF13.73,
别董頲 // 5655 5.1939,PDF5.27,津PDF13.73,
夜聞𥷑篥 // 5659 5.1941,PDF5.29,津PDF13.74,
衡州送李大夫七丈赴廣州 // 5803 5.1941,PDF5.29,津PDF13.75,
歲晏行 // 5661 5.1943,PDF5.31,津PDF13.76,
泊岳陽城下 // 5667 5.1945,PDF5.33,津PDF13.77,
纜船苦風戲題四韻奉簡鄭十三判官 // 5670 5.1946,PDF5.34,津PDF13.77,
登岳陽樓 // 5673 5.1946,PDF5.34,津PDF13.78,
陪裴使君登岳陽樓 // 5680 5.1949,PDF5.37,津PDF13.79,
南征 // 5684 5.1950,PDF5.38,津PDF13.80,
歸夢 // 5685 5.1950,PDF5.38,津PDF13.80,
過南嶽入洞庭湖 // 5689 5.1951,PDF5.39,津PDF13.81,
宿青草湖 // 5694 5.1953,PDF5.41,津PDF13.82,
宿白沙驛 // 5696 5.1954,PDF5.42,津PDF13.82,
湘夫人祠 // 5699 5.1955,PDF5.43,津PDF13.83,
祠南夕望 // 5703 5.1956,PDF5.44,津PDF13.84,
上水遣懷 // 5708 5.1957,PDF5.45,津PDF13.84,
遣遇 // 5715 5.1959,PDF5.47,津PDF13.85,
解憂 // 5718 5.1960,PDF5.48,津PDF13.86,
宿鑿石浦 // 5760 5.1961,PDF5.49,津PDF13.86,
早行 // 5755 5.1962,PDF5.50,津PDF13.87,
過津口 // 5774 5.1963,PDF5.51,津PDF13.87,
次空靈岸 // 5777 5.1964,PDF5.52,津PDF13.88,
宿花石戍 // 5780 5.1965,PDF5.53,津PDF13.89,
早發 // 5784 5.1966,PDF5.54,津PDF13.89,
次晚洲 // 5788 5.1968,PDF5.56,津PDF13.90,
清明二首 // 5743 5.1968,PDF5.56,津PDF13.91,
發潭州 // 5752 5.1971,PDF5.59,津PDF13.93,
發白馬潭 // 5705 5.1972,PDF5.60,津PDF13.93,
野望 // 5757 5.1973,PDF5.61,津PDF13.94,
入喬口 // 5722 5.1974,PDF5.62,津PDF13.94,
銅官渚守風 // 5728 5.1975,PDF5.63,津PDF13.95,
北風 // 5724 5.1976,PDF5.64,津PDF13.95,
雙楓浦 // 5730 5.1977,PDF5.65,津PDF13.96,
詠懷二首 // 5763 5.1978,PDF5.66,津PDF13.96,
酬郭十五判官 // 5799 5.1982,PDF5.70,津PDF13.99,
望嶽 // 5792 5.1983,PDF5.71,津PDF13.100,
嶽麓山道林二寺行 // 5732 5.1986,PDF5.74,津PDF13.101,
奉送韋中丞之晉赴湖南 // 5339 5.1989,PDF5.77,津PDF13.103,
湘江宴餞裴二端公赴道州 // 5815 5.1990,PDF5.78,津PDF13.104,
哭韋大夫之晉 // 5809 5.1992,PDF5.80,津PDF13.105,
江閣卧病走筆寄呈崔盧兩侍御 // 6075 5.1994,PDF5.82,津PDF13.106,
潭州送韋員外迢牧韶州 // 5821 5.1996,PDF5.84,津PDF13.107,
酬韋韶州見寄 // 5824 5.1997,PDF5.85,津PDF13.108,
樓上 // 5826 5.1997,PDF5.85,津PDF13.108,
遠遊 // 3912 5.1998,PDF5.86,津PDF13.108,
千秋節有感二首 // 5828 5.1999,PDF5.87,津PDF13.109,
奉贈盧五丈參謀琚 // 5835 5.2001,PDF5.89,津PDF13.110,
惜别行送劉僕射判官 // 5841 5.2004,PDF5.92,津PDF13.111,
重送劉十弟判官 // 5846 5.2005,PDF5.93,津PDF13.113,

杜詩詳註卷之二十三
湖中送敬十使君適廣陵 // 5852 5.2007,PDF5.95,津PDF14.2,
晚秋長沙蔡五侍御飲筵送殷六參軍歸澧州覲省 // 5898 5.2008,PDF5.96,津PDF14.2,
别張十三建封 // 5876 5.2009,PDF5.97,津PDF14.3,
送盧十四弟侍御護韋尚書靈櫬歸上都二十四韻 // 5901 5.2012,PDF5.100,津PDF14.5,
蘇大侍御訪江浦賦八韻記異 // 5855 5.2014,PDF5.102,津PDF14.6,
暮秋枉裴道州手札率爾遣興寄遞呈蘇渙侍御 // 5862 5.2016,PDF5.104,津PDF14.8,
奉贈李八丈曛判官 // 5871 5.2020,PDF5.108,津PDF14.10,
奉送魏六丈佑少府之交廣 // 5908 5.2022,PDF5.110,津PDF14.11,
北風 // 5887 5.2025,PDF5.113,津PDF14.13,
幽人 // 5889 5.2026,PDF5.114,津PDF14.13,
江漢 // 5575 5.2029,PDF5.117,津PDF14.15,
地隅 // 5591 5.2030,PDF5.118,津PDF14.16,
舟中夜雪有懷盧十四侍御弟 // 5916 5.2031,PDF5.119,津PDF14.17,
對雪 // 5919 5.2032,PDF5.120,津PDF14.17,
冬晚送長孫漸舍人歸州 // 5923 5.2033,PDF5.121,津PDF14.18,
暮冬送蘇四郎徯兵曹適桂州 // 5926 5.2034,PDF5.122,津PDF14.18,
客從 // 5929 5.2035,PDF5.123,津PDF14.19,
蠶穀行 // 5932 5.2036,PDF5.124,津PDF14.20,
白鳧行 // 5934 5.2037,PDF5.125,津PDF14.20,
朱鳳行 // 5938 5.2038,PDF5.126,津PDF14.20,
追酬故高蜀州人日見寄 // 5941 5.2038,PDF5.126,津PDF14.21,
送重表姪王砅評事使南海 // 5948 5.2042,PDF5.130,津PDF14.23,
清明 // 6007 5.2048,PDF5.136,津PDF14.27,
風雨看舟前落花戲爲新句 // 5989 5.2050,PDF5.138,津PDF14.29,
奉贈蕭十二使君 // 5965 5.2052,PDF5.140,津PDF14.30,
奉送二十三舅録事之攝郴州 // 5973 5.2054,PDF5.142,津PDF14.31,
送魏二十四司直充嶺南掌選崔郎中判官兼寄韋韶州 // 5976 5.2056,PDF5.144,津PDF14.32,
送趙十七明府之縣 // 5979 5.2057,PDF5.145,津PDF14.33,
同豆盧峰貽主客李員外賢子棐知字韻 // 5982 5.2058,PDF5.146,津PDF14.33,
歸雁二首 // 5985 5.2059,PDF5.147,津PDF14.34,
